№;Город;Регион;Федеральный округ;Население;Основание или первое упоминание
259;Долгопрудный ;Московская область ;Центральный ;90976;1931
133;Бугульма ;Татарстан ;Приволжский ;89144;1736
490;Кузнецк ;Пензенская область ;Приволжский ;88886;1699
226;Губкин ;Белгородская область ;Центральный ;88562;1939
403;Кинешма ;Ивановская область ;Центральный ;88113;1429
274;Ейск ;Краснодарский край ;Южный ;87771;1848
801;Реутов ;Московская область ;Центральный ;87195;15 век
1006;Усть-Илимск ;Иркутская область ;Сибирский ;86591;1966
288;Железногорск ;Красноярский край ;Сибирский ;85559;1950
1002;Усолье-Сибирское ;Иркутская область ;Сибирский ;83364;1669
1038;Чайковский ;Пермский край ;Приволжский ;82933;1955
9;Азов ;Ростовская область ;Южный ;82882;1067
136;Бузулук ;Оренбургская область ;Приволжский ;82816;1736
700;Озёрск ;Челябинская область ;Уральский ;82268;1945
69;Балашов ;Саратовская область ;Приволжский ;82222;17 век
1099;Юрга ;Кемеровская область ;Сибирский ;81536;1886
412;Кирово-Чепецк ;Кировская область ;Приволжский ;80920;1935
482;Кропоткин ;Краснодарский край ;Южный ;80743;1879
419;Клин ;Московская область ;Центральный ;80584;1317
188;Выборг ;Ленинградская область ;Северо-Западный ;80013;1293
1024;Ханты-Мансийск ;Ханты-Мансийский АО — Югра;Уральский ;79410;1582
972;Троицк ;Челябинская область ;Уральский ;78637;1743
124;Бор ;Нижегородская область ;Приволжский ;78079;14 век
1065;Шадринск ;Курганская область ;Уральский ;77744;1662
84;Белово ;Кемеровская область ;Сибирский ;76752;1726
1106;Ялта ;Крым ;Южный ;76746;1154
586;Минеральные Воды ;Ставропольский край ;Северо-Кавказский ;76715;1878
31;Анжеро-Судженск ;Кемеровская область ;Сибирский ;76669;1896
103;Биробиджан ;Еврейская АО ;Дальневосточный ;75419;1915
534;Лобня ;Московская область ;Центральный ;74350;1902
658;Новоалтайск ;Алтайский край ;Сибирский ;73134;1736
1039;Чапаевск ;Самарская область ;Приволжский ;72689;1909
208;Георгиевск ;Ставропольский край ;Северо-Кавказский ;72126;1777
1053;Черногорск ;Хакасия ;Сибирский ;72117;1936
587;Минусинск ;Красноярский край ;Сибирский ;71171;1739
594;Михайловск ;Ставропольский край ;Северо-Кавказский ;71018;1784
276;Елабуга ;Татарстан ;Приволжский ;70750;11 век
266;Дубна ;Московская область ;Центральный ;70569;1956
181;Воркута ;Коми ;Северо-Западный ;70551;1936
273;Егорьевск ;Московская область ;Центральный ;70133;1462
50;Асбест ;Свердловская область ;Уральский ;70067;1889
348;Ишим ;Тюменская область ;Уральский ;69567;1687
1016;Феодосия ;Крым ;Южный ;69038;6 век до н. э.
