№;Город;Регион;Федеральный округ;Население;Основание или первое упоминание
644;Нижние Серги ;Свердловская область ;Уральский ;11217;1743
306;Заозёрск ;Мурманская область ;Северо-Западный ;11206;1958
328;Зуевка ;Кировская область ;Приволжский ;11198;1899
201;Гаджиево ;Мурманская область ;Северо-Западный ;11089;1957
361;Камбарка ;Удмуртия ;Приволжский ;11028;1767
752;Пионерский ;Калининградская область ;Северо-Западный ;11017;1254
221;Гремячинск ;Пермский край ;Приволжский ;11005;1941
1087;Щучье ;Курганская область ;Уральский ;10971;1750
1064;Шагонар ;Тыва ;Сибирский ;10958;1888
252;Дигора ;Северная Осетия — Алания ;Северо-Кавказский ;10856;1852
835;Светлогорск ;Калининградская область ;Северо-Западный ;10775;1258
584;Микунь ;Коми ;Северо-Западный ;10732;1937
264;Дорогобуж ;Смоленская область ;Центральный ;10720;1150
305;Заозёрный ;Красноярский край ;Сибирский ;10683;1776
190;Высоковск ;Московская область ;Центральный ;10642;1864
1084;Щёлкино ;Крым ;Южный ;10620;1978
380;Каргат ;Новосибирская область ;Сибирский ;10620;18 век
19;Александровск-Сахалинский ;Сахалинская область ;Дальневосточный ;10613;1869
769;Порхов ;Псковская область ;Северо-Западный ;10608;1239
325;Змеиногорск ;Алтайский край ;Сибирский ;10569;1736
923;Суздаль ;Владимирская область ;Центральный ;10535;999
192;Вытегра ;Вологодская область ;Северо-Западный ;10490;1710
430;Кола ;Мурманская область ;Северо-Западный ;10447;1517
415;Кирс ;Кировская область ;Приволжский ;10420;1729
283;Ермолино ;Калужская область ;Центральный ;10409;1601
428;Козловка ;Чувашия ;Приволжский ;10355;1671
889;Сольцы ;Новгородская область ;Северо-Западный ;10317;1390
162;Вилюйск ;Якутия ;Дальневосточный ;10233;1634
997;Уржум ;Кировская область ;Приволжский ;10213;1584
615;Наволоки ;Ивановская область ;Центральный ;10207;1775
1101;Юрьевец ;Ивановская область ;Центральный ;10205;1225
588;Миньяр ;Челябинская область ;Уральский ;10195;1771
567;Мариинский Посад ;Чувашия ;Приволжский ;10186;1620
690;Нюрба ;Якутия ;Дальневосточный ;10156;1824
473;Краснослободск ;Мордовия ;Приволжский ;10151;1571
381;Каргополь ;Архангельская область ;Северо-Западный ;10148;1146
279;Ельня ;Смоленская область ;Центральный ;10095;1150
1026;Харовск ;Вологодская область ;Северо-Западный ;10078;1903
1097;Южно-Сухокумск ;Дагестан ;Северо-Кавказский ;10048;1958
811;Рудня ;Смоленская область ;Центральный ;10029;1363
179;Волчанск ;Свердловская область ;Уральский ;10008;1956
487;Кувшиново ;Тверская область ;Центральный ;10008;1910
175;Володарск ;Нижегородская область ;Приволжский ;9924;1932
640;Нея ;Костромская область ;Центральный ;9827;1906
329;Ивангород ;Ленинградская область ;Северо-Западный ;9797;1492
970;Тотьма ;Вологодская область ;Северо-Западный ;9784;1137
925;Суоярви ;Карелия ;Северо-Западный ;9763;16 век
786;Пудож ;Карелия ;Северо-Западный ;9698;1382
302;Задонск ;Липецкая область ;Центральный ;9695;1615
947;Таруса ;Калужская область ;Центральный ;9656;1246
121;Болохово ;Тульская область ;Центральный ;9619;16 век
87;Белозерск ;Вологодская область ;Северо-Западный ;9614;862
1104;Ядрин ;Чувашия ;Приволжский ;9614;1590
217;Городовиковск ;Калмыкия;Южный ;9565;1872
866;Сковородино ;Амурская область ;Дальневосточный ;9561;1908
685;Нолинск ;Кировская область ;Приволжский ;9556;1668
762;Покровск ;Якутия ;Дальневосточный ;9495;1682
705;Олёкминск ;Якутия ;Дальневосточный ;9487;1635
1010;Устюжна ;Вологодская область ;Северо-Западный ;9478;1252
156;Верхняя Тура ;Свердловская область ;Уральский ;9468;1737
151;Верхнеуральск ;Челябинская область ;Уральский ;9459;1734
38;Ардатов ;Мордовия ;Приволжский ;9400;1671
694;Облучье ;Еврейская АО ;Дальневосточный ;9379;1911
307;Западная Двина ;Тверская область ;Центральный ;9376;1900
856;Серафимович ;Волгоградская область ;Южный ;9368;1589
912;Старый Крым ;Крым ;Южный ;9277;13 век
593;Михайловск ;Свердловская область ;Уральский ;9215;1805
737;Перевоз ;Нижегородская область ;Приволжский ;9201;16 век
450;Костерёво ;Владимирская область ;Центральный ;9136;1890
951;Теберда ;Карачаево-Черкесия ;Северо-Кавказский ;9097;1868
257;Дно ;Псковская область ;Северо-Западный ;9061;1897
707;Олонец ;Карелия ;Северо-Западный ;9060;1137
1037;Чадан ;Тыва ;Сибирский ;9037;1873
105;Бирюсинск ;Иркутская область ;Сибирский ;8981;1967
160;Ветлуга ;Нижегородская область ;Приволжский ;8956;1606
655;Новая Ладога ;Ленинградская область ;Северо-Западный ;8890;1704
157;Верхотурье ;Свердловская область ;Уральский ;8815;1597
772;Починок ;Смоленская область ;Центральный ;8776;1868
531;Липки ;Тульская область ;Центральный ;8741;17 век
436;Комсомольск ;Ивановская область ;Центральный ;8693;1931
340;Инсар ;Мордовия ;Приволжский ;8687;1648
118;Болгар ;Татарстан ;Приволжский ;8650;1781
910;Старица ;Тверская область ;Центральный ;8610;1297
788;Пучеж ;Ивановская область ;Центральный ;8583;1594
83;Белинский ;Пензенская область ;Приволжский ;8567;1708
652;Никольск ;Вологодская область ;Северо-Западный ;8515;14 век
32;Анива ;Сахалинская область ;Дальневосточный ;8449;1886
92;Белоусово ;Калужская область ;Центральный ;8432;1962
557;Макушино ;Курганская область ;Уральский ;8337;1797
574;Медынь ;Калужская область ;Центральный ;8298;1386
560;Малмыж ;Кировская область ;Приволжский ;8265;15 век
30;Андреаполь ;Тверская область ;Центральный ;8265;1907
821;Салаир ;Кемеровская область ;Сибирский ;8263;1626
673;Новосокольники ;Псковская область ;Северо-Западный ;8119;1901
936;Сычёвка ;Смоленская область ;Центральный ;8111;1488
216;Городище ;Пензенская область ;Приволжский ;8102;1681
964;Томмот ;Якутия ;Дальневосточный ;8054;1923
570;Мглин ;Брянская область ;Центральный ;7916;1387
106;Бирюч ;Белгородская область ;Центральный ;7842;1705
518;Лахденпохья ;Карелия ;Северо-Западный ;7818;1600
23;Алупка ;Крым ;Южный ;7771;960
564;Мамоново ;Калининградская область ;Северо-Западный ;7757;1301
903;Спасск-Рязанский ;Рязанская область ;Центральный ;7745;1629
407;Кириллов ;Вологодская область ;Северо-Западный ;7735;1397
515;Лаишево ;Татарстан ;Приволжский ;7735;1557
254;Дмитриев ;Курская область ;Центральный ;7721;1779
143;Велиж ;Смоленская область ;Центральный ;7620;1536
726;Оханск ;Пермский край ;Приволжский ;7597;1547
764;Полесск ;Калининградская область ;Северо-Западный ;7580;1258
880;Советск ;Тульская область ;Центральный ;7537;1949
901;Спасск ;Пензенская область ;Приволжский ;7442;17 век
245;Демидов ;Смоленская область ;Центральный ;7333;1499
159;Весьегонск ;Тверская область ;Центральный ;7330;1564
849;Севск ;Брянская область ;Центральный ;7282;1146
953;Темников ;Мордовия ;Приволжский ;7247;12 век
556;Макарьев ;Костромская область ;Центральный ;7114;1439
1103;Юхнов ;Калужская область ;Центральный ;7056;1410
929;Сурск ;Пензенская область ;Приволжский ;7032;1849
460;Красавино ;Вологодская область ;Северо-Западный ;7003;1848
715;Орлов ;Кировская область ;Приволжский ;6959;1459
855;Сенгилей ;Ульяновская область ;Приволжский ;6959;1666
327;Зубцов ;Тверская область ;Центральный ;6937;1216
906;Сретенск ;Забайкальский край ;Сибирский ;6850;1689
678;Новохопёрск ;Воронежская область ;Центральный ;6849;1710
500;Курлово ;Владимирская область ;Центральный ;6791;1811
555;Макаров ;Сахалинская область ;Дальневосточный ;6788;1892
363;Каменногорск ;Ленинградская область ;Северо-Западный ;6761;1597
606;Мураши ;Кировская область ;Приволжский ;6752;1895
22;Алзамай ;Иркутская область ;Сибирский ;6751;1899
421;Княгинино ;Нижегородская область ;Приволжский ;6708;1569
1072;Шацк ;Рязанская область ;Центральный ;6562;1553
884;Солигалич ;Костромская область ;Центральный ;6438;1335
198;Гаврилов Посад ;Ивановская область ;Центральный ;6434;1434
60;Багратионовск ;Калининградская область ;Северо-Западный ;6399;1336
841;Себеж ;Псковская область ;Северо-Западный ;6375;1414
220;Грайворон ;Белгородская область ;Центральный ;6234;1678
1036;Циолковский ;Амурская область ;Дальневосточный ;6208;1961
333;Игарка ;Красноярский край ;Сибирский ;6183;1929
777;Приморск ;Ленинградская область ;Северо-Западный ;6122;1268
773;Пошехонье ;Ярославская область ;Центральный ;6085;1680
1078;Шиханы ;Саратовская область ;Приволжский ;6067;1928
921;Суджа ;Курская область ;Центральный ;6036;16 век
256;Дмитровск ;Орловская область ;Центральный ;5956;1711
612;Мышкин ;Ярославская область ;Центральный ;5932;15 век
900;Спас-Клепики ;Рязанская область ;Центральный ;5917;16 век
447;Короча ;Белгородская область ;Центральный ;5877;1637
930;Сусуман ;Магаданская область ;Дальневосточный ;5865;1938
791;Пыталово ;Псковская область ;Северо-Западный ;5826;1782
1075;Шенкурск ;Архангельская область ;Северо-Западный ;5702;1137
1003;Усолье ;Пермский край ;Приволжский ;5694;1606
480;Красный Холм ;Тверская область ;Центральный ;5608;1518
293;Жиздра ;Калужская область ;Центральный ;5585;1146
547;Любим ;Ярославская область ;Центральный ;5553;1538
324;Злынка ;Брянская область ;Центральный ;5507;1702
102;Билибино ;Чукотский АО ;Дальневосточный ;5504;1955
1015;Фатеж ;Курская область ;Центральный ;5404;16 век
150;Верея ;Московская область ;Центральный ;5368;1371
1063;Чухлома ;Костромская область ;Центральный ;5209;1381
978;Туран ;Тыва ;Сибирский ;4988;1885
1046;Чердынь ;Пермский край ;Приволжский ;4920;1451
899;Спас-Деменск ;Калужская область ;Центральный ;4904;1446
351;Кадников ;Вологодская область ;Северо-Западный ;4797;1492
699;Озёрск ;Калининградская область ;Северо-Западный ;4740;1539
787;Пустошка ;Псковская область ;Северо-Западный ;4619;1901
869;Славск ;Калининградская область ;Северо-Западный ;4614;1292
635;Нестеров ;Калининградская область ;Северо-Западный ;4584;1539
58;Бабушкин ;Бурятия ;Сибирский ;4542;1760
963;Томари ;Сахалинская область ;Дальневосточный ;4537;1870
206;Гдов ;Псковская область ;Северо-Западный ;4379;14 век
269;Духовщина ;Смоленская область ;Центральный ;4370;1675
774;Правдинск ;Калининградская область ;Северо-Западный ;4323;1312
603;Мосальск ;Калужская область ;Центральный ;4285;1231
545;Любань ;Ленинградская область ;Северо-Западный ;4188;1499
733;Певек ;Чукотский АО ;Дальневосточный ;4161;1933
582;Мещовск ;Калужская область ;Центральный ;4101;1238
1051;Чёрмоз ;Пермский край ;Приволжский ;4017;1701
561;Малоархангельск ;Орловская область ;Центральный ;3872;17 век
1031;Холм ;Новгородская область ;Северо-Западный ;3829;1144
672;Новосиль ;Орловская область ;Центральный ;3799;1155
514;Ладушкин ;Калининградская область ;Северо-Западный ;3788;1314
94;Белый ;Тверская область ;Центральный ;3771;1350
669;Новоржев ;Псковская область ;Северо-Западный ;3695;1777
577;Мезень ;Архангельская область ;Северо-Западный ;3599;16 век
904;Среднеколымск ;Якутия ;Дальневосточный ;3525;1643
467;Краснознаменск ;Калининградская область ;Северо-Западный ;3522;1576
431;Кологрив ;Костромская область ;Центральный ;3314;17 век
551;Магас ;Ингушетия ;Северо-Кавказский ;2505;1995
888;Сольвычегодск ;Архангельская область ;Северо-Западный ;2460;14 век
392;Кедровый ;Томская область ;Сибирский ;2451;1982
843;Северо-Курильск ;Сахалинская область ;Дальневосточный ;2381;1875
756;Плёс ;Ивановская область ;Центральный ;2341;1410
211;Горбатов ;Нижегородская область ;Приволжский ;2278;16 век
47;Артёмовск ;Красноярский край ;Сибирский ;2180;1700
721;Островной ;Мурманская область ;Северо-Западный ;2177;1611
499;Курильск ;Сахалинская область ;Дальневосточный ;2070;18 век
776;Приморск ;Калининградская область ;Северо-Западный ;1956;1268
158;Верхоянск ;Якутия ;Дальневосточный ;1311;1638
191;Высоцк ;Ленинградская область ;Северо-Западный ;1244;1532
1044;Чекалин ;Тульская область ;Центральный ;994;1565
339;Иннополис ;Татарстан ;Приволжский ;96;2012
